no,provinsi,kabupaten,npsn,nama_sekolah,slot_1_csv,slot_1_status,slot_1_kode_kk,slot_1_nama_kk,slot_1_score,slot_2_csv,slot_2_status,slot_2_kode_kk,slot_2_nama_kk,slot_2_score,slot_3_csv,slot_3_status,slot_3_kode_kk,slot_3_nama_kk,slot_3_score,slot_4_csv,slot_4_status,slot_4_kode_kk,slot_4_nama_kk,slot_4_score,slot_5_csv,slot_5_status,slot_5_kode_kk,slot_5_nama_kk,slot_5_score
1,Aceh,Aceh Barat Daya,10110535,SMK Negeri 3 Aceh Barat Daya,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Bisnis Digital,MATCHED EXACT,8.1.1,Bisnis Digital,100,,KOSONG,,,0,,KOSONG,,,0
2,Aceh,Aceh Barat Daya,10110536,SMK NEGERI 2 ACEH BARAT DAYA,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
3,Aceh,Aceh Barat Daya,10110273,SMKN 1 Arongan Lambalek,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
4,Aceh,Aceh Barat Daya,10110537,SMK NEGERI 5 ACEH BARAT DAYA,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
5,Aceh,Aceh Selatan,10102743,SMK NEGERI 1 TRUMON TIMUR,Agribisnis Tanaman Perkebunan,MATCHED EXACT,6.1.1,Agribisnis Tanaman Perkebunan,100,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,,KOSONG,,,0,,KOSONG,,,0
6,Aceh,Aceh Singkil,10104057,SMKN 1 SINGKIL UTARA,Desain Komunikasi Visual,MATCHED EXACT,10.2.1,Desain Komunikasi Visual,100,Agribisnis Tanaman Perkebunan,MATCHED EXACT,6.1.1,Agribisnis Tanaman Perkebunan,100,Teknik Pemboran Minyak dan Gas,MATCHED EXACT,3.5.2,Teknik Pemboran Minyak dan Gas,100,Agribisnis Ternak Unggas,MATCHED EXACT,6.2.2,Agribisnis Ternak Unggas,100,,KOSONG,,,0
7,Aceh,Aceh Tamiang,60726644,SMKN 1 KUALASIMPANG,Bisnis Digital,MATCHED EXACT,8.1.1,Bisnis Digital,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
8,Aceh,Aceh Tengah,70003115,SMK NEGERI 5 TAKENGON,Teknik Komputer Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
9,Aceh,Aceh tenggara,10112892,SMK SWASTA IT AL AMANAH,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
10,Aceh,Aceh tenggara,10110357,SMKS BADRUL ULUM,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
