No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,Pagu persiapan,Pagu pelatihan,Pagu Alat,Paagu Final
1,Aceh,Aceh Barat Daya,10110535,SMK Negeri 3 Aceh Barat Daya,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
2,Aceh,Aceh Barat Daya,10110536,SMK NEGERI 2 ACEH BARAT DAYA,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
3,Aceh,Aceh Barat Daya,10110273,SMKN 1 Arongan Lambalek,"9,160,000","30,000,000","1,970,000,000","2,009,160,000"
4,Aceh,Aceh Barat Daya,10110537,SMK NEGERI 5 ACEH BARAT DAYA,"9,160,000","20,000,000","1,580,000,000","1,609,160,000"
5,Aceh,Aceh Selatan,10102743,SMK NEGERI 1 TRUMON TIMUR,"9,160,000","30,000,000","1,970,000,000","2,009,160,000"
6,Aceh,Aceh Singkil,10104057,SMKN 1 SINGKIL UTARA,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
7,Aceh,Aceh Tamiang,60726644,SMKN 1 KUALASIMPANG,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
8,Aceh,Aceh Tengah,70003115,SMK NEGERI 5 TAKENGON,"9,160,000","20,000,000","1,180,000,000","1,209,160,000"
9,Aceh,Aceh tenggara,10112892,SMK SWASTA IT AL AMANAH,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
10,Aceh,Aceh tenggara,10110357,SMKS BADRUL ULUM,"9,160,000","20,000,000","1,180,000,000","1,209,160,000"
11,Aceh,Aceh Timur,69726324,SMKS Plus AMAL,"9,160,000","30,000,000","2,170,000,000","2,209,160,000"
12,Aceh,Aceh Utara,10106280,SMK NEGERI 1 BAKTIYA BARAT,"9,160,000","80,000,000","5,520,000,000","5,609,160,000"
13,Aceh,Aceh Utara,69909282,SMKN 1 Cot Girek,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
14,Aceh,Aceh Utara,10113067,SMK Negeri 1 Lapang,"9,160,000","40,000,000","3,160,000,000","3,209,160,000"
