No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS
1,Aceh,Aceh Barat Daya,10110535,SMK Negeri 3 Aceh Barat Daya,Desain Komunikasi Visual (DKV),Teknik Sepeda Motor,Bisnis Digital,,
2,Aceh,Aceh Barat Daya,10110536,SMK NEGERI 2 ACEH BARAT DAYA,Desain dan Produksi Busana,,,,
3,Aceh,Aceh Barat Daya,10110273,SMKN 1 Arongan Lambalek,Agribisnis Tanaman Pangan dan Hortikultura,,,,
4,Aceh,Aceh Barat Daya,10110537,SMK NEGERI 5 ACEH BARAT DAYA,Agribisnis Tanaman Pangan dan Hortikultura,,,,
5,Aceh,Aceh Selatan,10102743,SMK NEGERI 1 TRUMON TIMUR,Agribisnis Tanaman Perkebunan,Agribisnis Tanaman Pangan dan Hortikultura,Desain Komunikasi Visual (DKV),,
6,Aceh,Aceh Singkil,10104057,SMKN 1 SINGKIL UTARA,Desain Komunikasi Visual,Agribisnis Tanaman Perkebunan,Teknik Pemboran Minyak dan Gas ,Agribisnis Ternak Unggas,
7,Aceh,Aceh Tamiang,60726644,SMKN 1 KUALASIMPANG,Bisnis Digital,,,,
8,Aceh,Aceh Tengah,70003115,SMK NEGERI 5 TAKENGON,Teknik Komputer Jaringan,,,,
9,Aceh,Aceh tenggara,10112892,SMK SWASTA IT AL AMANAH,Teknik Komputer dan Jaringan,,,,
10,Aceh,Aceh tenggara,10110357,SMKS BADRUL ULUM,Teknik Komputer dan Jaringan,,,,
11,Aceh,Aceh Timur,69726324,SMKS Plus AMAL,MANAJEMEN PERKANTORAN,CAREGIVER,,,
12,Aceh,Aceh Utara,10106280,SMK NEGERI 1 BAKTIYA BARAT,Desain dan Produksi Busana,Desain Komunikasi Visaual,,,
13,Aceh,Aceh Utara,69909282,SMKN 1 Cot Girek,Teknik Grafika (TG),,,,
14,Aceh,Aceh Utara,10113067,SMK Negeri 1 Lapang,Agribisnis Perikanan Payau dan Laut,Managemen Perkantoran,,,
15,Aceh,Aceh Utara,69787116,SMKS TERPADU BABUSSALAM,Desain dan Produksi Busana,,,,
16,Aceh,Aceh Utara,10113041,SMK FARMASI CITRA BANGSA,Layanan Penunjang Kefarmasian Klinis dan Komunitas,,,,
17,Aceh,aceh Utara,69943314,SMK Swasta Mubarrak Al-Waliyah,DESAIN KOMUNIKASI VISUAL,,,,
18,Aceh,Aceh Utara,70049631,SMK SWASTA TASTAFI,Rekayasa Perangkat Lunak,,,,
19,Aceh,Bireuen,10107108,SMK Negeri 1 Peusangan,Desain dan Produksi Busana,,,,
127,Sumatera Utara,Kota Medan,69727923,SMK NEGERI 14 MEDAN,Elektronika Industri,Teknik Instalasi Tenaga Listrik,Teknik Kendaraan Ringan,,
107,Sumatera Utara,Kabupaten Langkat,69924677,SMK SWASTA MUHAMMAD YAASIIN SEI LEPAN,Teknik Komputer Jaringan,Teknik Sepeda Motor,,,
22,Aceh,Kabupaten Aceh Barat Daya,10104846,SMK NEGERI 1 ACEH BARAT DAYA,Teknik Sepeda Motor,Teknik Kendaraan Ringan,Teknik Instalasi Tenaga Listrik,Teknik Komputer dan Jaringan,
23,Aceh,Kabupaten Aceh Barat Daya,10110534,SMK NEGERI 4 ACEH BARAT DAYA,Teknik Pengelasan,Agribisnis Pengolahan Hasil Pertanian,,,
24,Aceh,Kabupaten Aceh Besar,60729112,SMKN 1  LHOKNGA,Desain dan Produksi Busana,,,,
25,Aceh,Kabupaten Aceh Selatan,10113369,SMKS HIDAYATUL ANAM,Agribisnis Tanaman Pangan dan Hortikultura,,,,
26,Aceh,Kabupaten Aceh Singkil,69947031,SMK Swasta Muhammadiyah Singkil,Teknik Komputer dan Jaringan,,,,
27,Aceh,Kabupaten Aceh Tamiang,10108048,SMK NEGERI 2 KARANG BARU,Teknik Kendaraan Ringan,Teknik Sepeda Motor,Teknik Pengelasan,Teknik Mekatronika,Teknik Instalasi Tenaga Listrik
28,Aceh,Kabupaten Aceh Tamiang,10110624,SMK NEGERI 1 BENDAHARA,Teknik Kendaraan Ringan,Neutika Kapal,,,
29,Aceh,Kabupaten Aceh Tamiang,69966741,SMKS Sabilul Ulum,Teknik Sepeda Motor,,,,
30,Aceh,Kabupaten Aceh Tamiang,10107161,SMKS SYUKRONIYAH,Teknik pengelasan,,,,
31,Aceh,Kabupaten Aceh Tamiang,10107158,SMKN 1 KARANG BARU,Rekayasa Perangkat Lunak (RPL),,,,
32,Aceh,Kabupaten Aceh Tamiang,10104267,SMK SWASTA MAIMUN HABSYAH KUALA SIMPANG,Teknik Kendaraan Ringan,,,,
33,Aceh,Kabupaten Aceh Tamiang,10108049,SMK NEGERI 3 KARANG BARU,Desain dan Produksi Busana,Kuliner,,,
34,Aceh,Kabupaten Aceh Tamiang,70005918,SMK SWASTA MISRA,DESAIN KOMUNIKASI VISUAL,,,,
35,Aceh,Kabupaten Aceh Timur,10111334,SMK NEGERI 2 PEUREULAK,Teknik Sepeda Motor,Pengelasan,,,
36,Aceh,Kabupaten Aceh Timur,10113344,SMK NEGERI 1 PEUREULAK,Desain dan Produksi Busana,Teknik Sepeda Motor,,,
37,Aceh,Kabupaten Aceh Timur,69946304,SMK NEGERI 1 INDRA MAKMU,Teknik Sepeda Motor,Desain Komunikasi Visual (DKV),,,
38,Aceh,Kabupaten Aceh Timur,10110606,SMK NEGERI 1 SIMPANG ULIM,Teknik Kendaraan Ringan,Teknik Komputer dan Jaringan,Teknik Sepeda Motor,,
39,Aceh,Kabupaten Aceh Timur,10113373,SMK NEGERI 1 PANTE BIDARI,Desain dan Produksi Busana,Audio Visual,,,
